Issue;Date
KAFKA-1000;16/06/2015 18:23
KAFKA-10054;25/08/2020 00:49
KAFKA-10259;04/09/2020 20:13
KAFKA-10338;06/10/2020 18:14
KAFKA-10500;29/01/2021 20:51
KAFKA-1053;18/09/2013 03:55
KAFKA-10700;02/02/2021 14:57
KAFKA-10749;22/03/2021 17:45
KAFKA-1092;31/10/2013 04:08
KAFKA-1117;21/11/2013 05:43
KAFKA-1176;18/04/2016 07:11
KAFKA-1197;07/09/2017 17:41
KAFKA-1227;03/04/2014 16:33
KAFKA-1239;07/02/2015 23:59
KAFKA-12471;14/05/2021 19:56
KAFKA-127;10/09/2011 00:37
KAFKA-130;12/10/2011 01:22
KAFKA-1326;06/11/2017 17:47
KAFKA-1384;06/05/2014 23:36
KAFKA-140;30/09/2011 19:37
KAFKA-1443;06/06/2014 16:47
KAFKA-1464;16/09/2016 05:28
KAFKA-1499;15/01/2015 02:48
KAFKA-1512;07/01/2015 03:40
KAFKA-1522;19/08/2014 21:20
KAFKA-1597;16/09/2014 03:36
KAFKA-162;19/10/2011 22:15
KAFKA-166;24/10/2011 18:52
KAFKA-167;12/07/2014 19:56
KAFKA-1676;14/05/2021 02:30
KAFKA-1689;20/02/2018 23:48
KAFKA-174;24/05/2016 20:53
KAFKA-1786;04/09/2018 15:34
KAFKA-188;02/11/2012 19:02
KAFKA-191;12/07/2012 21:42
KAFKA-201;06/12/2012 18:43
KAFKA-202;13/01/2012 22:41
KAFKA-203;13/09/2012 04:32
KAFKA-208;20/02/2013 17:27
KAFKA-2120;29/09/2015 17:52
KAFKA-2187;09/07/2015 22:25
KAFKA-235;06/12/2012 08:00
KAFKA-2365;15/06/2016 16:53
KAFKA-245;10/01/2012 23:17
KAFKA-2497;01/09/2015 17:38
KAFKA-2590;23/08/2017 00:40
KAFKA-2832;17/03/2016 19:34
KAFKA-3046;23/02/2016 23:04
KAFKA-3176;21/06/2016 05:28
KAFKA-330;07/02/2014 04:23
KAFKA-3333;09/07/2019 20:10
KAFKA-3452;06/01/2017 18:12
KAFKA-3487;18/05/2017 17:39
KAFKA-3490;13/04/2016 20:51
KAFKA-3492;17/09/2016 17:06
KAFKA-3537;13/01/2017 17:05
KAFKA-36;19/07/2011 21:32
KAFKA-364;18/04/2016 09:14
KAFKA-3705;03/10/2019 23:03
KAFKA-374;16/12/2012 19:42
KAFKA-3776;16/09/2016 16:59
KAFKA-3858;21/07/2016 20:12
KAFKA-3909;12/08/2016 09:06
KAFKA-4015;25/08/2016 15:16
KAFKA-4093;17/09/2016 07:18
KAFKA-4159;15/10/2019 16:42
KAFKA-4208;29/04/2017 02:40
KAFKA-4259;24/12/2016 09:22
KAFKA-429;25/08/2012 01:16
KAFKA-4490;13/01/2017 23:55
KAFKA-4586;03/04/2017 12:08
KAFKA-4602;26/07/2017 06:21
KAFKA-4720;16/02/2017 05:19
KAFKA-4730;21/02/2019 03:10
KAFKA-4743;17/05/2017 21:27
KAFKA-475;25/08/2012 00:35
KAFKA-4815;27/06/2017 14:21
KAFKA-4819;14/09/2017 18:40
KAFKA-4881;27/03/2017 17:30
KAFKA-4923;17/05/2017 00:23
KAFKA-50;13/06/2013 15:34
KAFKA-5059;31/05/2017 06:44
KAFKA-5142;31/01/2018 18:40
KAFKA-5192;19/05/2017 00:03
KAFKA-5341;28/07/2017 18:29
KAFKA-545;15/11/2012 22:55
KAFKA-546;08/11/2012 06:20
KAFKA-554;08/03/2013 23:10
KAFKA-56;19/07/2011 21:32
KAFKA-5651;04/10/2017 04:37
KAFKA-57;07/02/2015 23:49
KAFKA-5738;14/09/2017 23:10
KAFKA-5746;28/09/2017 21:04
KAFKA-5854;20/09/2017 21:52
KAFKA-6049;08/01/2020 23:29
KAFKA-6144;16/01/2020 22:59
KAFKA-6145;27/05/2020 22:49
KAFKA-615;06/08/2013 04:41
KAFKA-6170;20/11/2017 19:25
KAFKA-6182;15/05/2020 02:21
KAFKA-6240;15/02/2018 13:31
KAFKA-631;29/01/2013 16:11
KAFKA-653;23/10/2013 16:39
KAFKA-657;04/01/2013 22:32
KAFKA-6576;06/04/2018 21:55
KAFKA-658;27/05/2020 21:00
KAFKA-659;04/02/2019 10:39
KAFKA-676;18/12/2012 17:50
KAFKA-68;19/07/2011 21:32
KAFKA-6841;15/06/2018 05:30
KAFKA-6886;30/05/2018 21:43
KAFKA-69;19/07/2011 21:32
KAFKA-6935;07/06/2018 01:11
KAFKA-70;17/09/2011 03:23
KAFKA-7027;10/09/2018 23:10
KAFKA-7251;19/12/2019 14:20
KAFKA-7283;21/02/2019 05:52
KAFKA-7356;19/11/2019 05:38
KAFKA-7471;07/10/2019 09:23
KAFKA-7500;07/10/2019 08:31
KAFKA-7730;14/03/2019 23:21
KAFKA-78;06/10/2011 05:11
KAFKA-7800;07/10/2019 09:18
KAFKA-79;06/10/2011 17:57
KAFKA-7904;05/04/2019 16:16
KAFKA-7922;10/03/2019 15:38
KAFKA-80;04/04/2013 19:44
KAFKA-8265;05/06/2019 17:51
KAFKA-8286;29/05/2019 17:45
KAFKA-8365;18/05/2019 05:51
KAFKA-8447;03/10/2019 00:42
KAFKA-8611;09/04/2020 23:53
KAFKA-8843;08/02/2020 15:52
KAFKA-8863;16/04/2021 14:14
KAFKA-8865;17/01/2020 13:23
KAFKA-8874;17/10/2019 09:17
KAFKA-8885;07/10/2019 04:13
KAFKA-8890;08/04/2020 14:23
KAFKA-8907;07/10/2019 08:39
KAFKA-8952;29/09/2019 17:28
KAFKA-925;29/07/2013 22:38
KAFKA-9285;08/12/2019 04:05
KAFKA-9320;03/06/2020 07:21
KAFKA-9352;13/01/2020 18:08
KAFKA-9445;30/01/2020 07:46
KAFKA-9487;12/02/2020 03:25
KAFKA-9673;28/05/2020 13:59
KAFKA-9753;31/03/2020 23:40
KAFKA-9756;27/03/2020 05:54
KAFKA-9915;15/10/2020 07:59
